Height,7',8',9',10',11',12',13',14',15',16',17',18',19',20'
4',"3,398","3,512","3,587","3,701","3,775","3,948","4,311","4,430","4,509","4,627","5,055","5,173","5,252","5,371"
5',"3,542","3,661","3,740","3,859","3,938","4,116","4,522","4,646","4,729","4,853","5,278","5,402","5,485","5,609"
6',"3,686","3,810","3,894","4,018","4,101","4,284","4,733","4,862","4,950","5,078","5,501","5,630","5,718","5,847"
7',"3,829","3,958","4,047","4,176","4,264","4,452","4,944","5,077","5,171","5,304","5,725","5,858","5,951","6,085"
8',"3,973","4,107","4,200","4,334","4,428","4,620","5,155","5,293","5,391","5,529","5,948","6,086","6,184","6,322"
9',"4,117","4,256","4,354","4,492","4,591","4,788","5,366","5,509","5,612","5,755","6,172","6,315","6,417","6,560"
10',"4,261","4,404","4,507","4,651","4,754","4,956","5,577","5,725","5,832","5,980","6,395","6,543","6,651","6,798"
11',"4,405","4,553","4,661","4,809","4,917","5,124","5,788","5,941","6,053","6,206","6,619","6,771","6,884","7,036"
12',"4,523","4,673","4,782","4,932","5,042","5,251","5,955","6,109","6,224","6,378","6,786","6,940","7,054","7,208"
13',"4,667","4,821","4,936","5,091","5,205","5,419","6,166","6,325","6,444","6,603","7,009","7,168","7,287","7,446"
14',"4,811","4,970","5,089","5,249","5,368","5,586","6,377","6,541","6,665","6,829","7,233","7,397","7,520","7,684"
15',"4,954","5,119","5,243","5,407","5,531","5,754","6,588","6,757","6,886","7,054","7,456","7,625","7,753","7,922"
16',"5,098","5,267","5,396","5,565","5,694","5,922","6,799","6,973","7,106","7,280","7,680","7,853","7,987","8,160"
17',"5,242","5,416","5,550","5,724","5,857","6,872","7,010","7,189","7,327","7,505","7,903","8,081","8,220","8,398"
18',"5,386","5,565","5,703","5,882","6,020","7,078","7,221","7,404","7,547","7,731","8,127","8,310","8,453","8,636"
19',"5,530","5,713","5,857","6,040","6,184","7,285","7,432","7,620","7,768","7,956","8,350","8,538","8,686","8,874"
20',"5,673","5,862","6,010","6,198","6,347","7,491","7,643","7,836","7,989","8,181","8,573","8,766","8,919","9,112"
21',"6,789","6,987","7,144","7,342","7,499","7,697","7,854","8,052","8,209","8,407","8,797","8,994","9,152","9,350"
22',"6,971","7,174","7,336","7,539","7,701","7,903","8,065","8,268","8,430","8,632","9,020","9,223","9,385","9,587"
23',"7,154","7,361","7,528","7,735","7,902","8,109","8,276","8,484","8,651","8,858","9,244","9,451","9,618","9,825"
24',"7,336","7,548","7,720","7,932","8,104","8,316","8,487","8,699","8,871","9,083","9,467","9,679","9,851","10,063"
25',"7,518","7,735","7,911","8,128","8,305","8,522","8,698","8,915","9,092","9,309","9,691","9,908","10,084","10,301"
26',"7,898","8,120","8,302","8,523","8,705","8,926","9,108","9,330","9,511","9,733","9,914","10,136","10,317","10,539"
27',"8,074","8,300","8,487","8,713","8,899","9,126","9,312","9,539","9,725","9,951","10,138","10,364","10,550","10,777"
28',"8,249","8,480","8,671","8,903","9,094","9,325","9,516","9,748","9,939","10,170","10,361","10,592","10,784","11,015"
29',"8,424","8,660","8,856","9,093","9,288","9,525","9,721","9,957","10,153","10,389","10,585","10,821","11,017","11,253"
30',"8,600","8,841","9,041","9,282","9,483","9,724","9,925","10,166","10,366","10,607","10,808","11,049","11,250","11,491"
